VisitorCookieID;2015-12-21;2015-12-22;2015-12-23;2015-12-24;2015-12-25;2015-12-26;2015-12-27;2015-12-28;2015-12-29;2015-12-30;2015-12-31;2016-01-01;2016-01-02;2016-01-03;2016-01-04;2016-01-05;2016-01-06;2016-01-07;2016-01-08;2016-01-09;2016-01-10;2016-01-11;2016-01-12;2016-01-13;2016-01-14;2016-01-15;2016-01-16;2016-01-17;2016-01-18;2016-01-19;2016-01-20;2016-01-21;2016-01-22;2016-01-23;2016-01-24;2016-01-25;2016-01-26;2016-01-27;2016-01-28;2016-01-29;2016-01-30
1438104606;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1438638434;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
1439140155;1;;;;;;;;;;;;;;1;;;;;;1;1;;;;;;;;;;1;;;2;;;;;;
1440837204;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
1441106588;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
1456608899;1;1;;1;;;;;;;;;;1;;1;;;1;;;;;;;;;;;;;;;;;;;;;;
1457014105;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
1457862234;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
1460152436;1;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1460718370;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
1464507262;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
1466465761;1;;;;;1;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1467915662;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
1470805990;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1471727320;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1474580296;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1475802865;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
1479031905;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1479897425;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
1482502232;1;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
148268594;;;;;;;;1;1;;;;;;;1;;;;;1;;;;1;;;;;;;;;;;;;;;;
148289831;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
